Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2019-10-20 18:15:54,false,"Aalen Laufen","8.14","599","00:49:53","155","170","4.5","162","167","6:08","5:19","42","44","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:53.86","9","0.0"
Laufen,2019-09-29 09:13:18,false,"Einstein Halbmarathon 2019","21.27","1,588","01:49:43","174","186","5.0","169","240","5:09","3:49","602","580","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:11.19","22","0.0"
Laufen,2019-09-23 19:24:45,false,"Aalen Laufen","14.70","1,043","01:20:54","162","178","5.0","164","175","5:30","4:29","31","51","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:51.93","15","0.0"
Laufen,2019-09-18 20:15:55,false,"Aalen Laufen","11.73","710","01:05:07","161","182","5.0","163","231","5:33","5:16","17","52","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:33.28","10","0.0"
Laufen,2019-09-12 05:55:33,false,"Aalen Laufen","10.10","746","00:58:41","154","175","4.8","166","244","5:49","5:09","37","44","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:36.21","11","0.0"
Laufen,2019-09-05 19:39:13,false,"Börgerende - Bad Doberan - Heiligendamm Runde ","17.29","1,149","01:30:03","157","172","5.0","170","177","5:12","4:43","39","40","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:26.84","18","0.0"
Laufen,2019-09-03 20:33:26,false,"Börgerende-Rethwisch Laufen","6.03","404","00:32:00","155","165","3.8","167","174","5:18","4:44","3","2","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:08.68","7","0.0"
Laufen,2019-08-30 08:11:30,false,"Börgerende - Heiligendamm und zurück ","10.49","684","00:53:55","159","173","5.0","170","175","5:08","4:49","17","18","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:38.60","11","0.0"
Laufen,2019-08-26 10:27:00,false,"Börgerende - Warnemünde ","14.17","1,107","01:27:23","157","188","5.0","165","169","6:10","5:26","31","29","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:04.06","15","0.0"
Laufen,2019-08-23 20:20:23,false,"Börgerende - Heiligendamm und zurück","10.38","675","00:54:16","157","174","5.0","166","169","5:14","4:56","18","18","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:58.76","11","0.0"
Laufen,2019-08-20 18:44:58,false,"Börgerende - Nienhagen und zurück ","10.03","651","00:51:27","161","183","5.0","168","173","5:08","4:34","15","14","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:10.67","11","0.0"
Laufen,2019-08-18 17:33:01,false,"Weimar - Schloss Tiefurt - Goethe Park ","10.01","673","00:53:32","159","173","5.0","166","173","5:21","4:46","68","102","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:02.60","11","0.0"
